Date;SP/GOLD;MM7
01/12/1927;0,851084337;0,851084337
01/01/1928;0,845524543;0,84830444
01/02/1928;0,830606352;0,842405077
01/03/1928;0,927815207;0,86375761
01/04/1928;0,950433109;0,88109271
01/05/1928;0,962463908;0,894654576
01/06/1928;0,92107796;0,898429345
01/07/1928;0,935033686;0,903004888
01/08/1928;1,004331088;0,914263354
01/09/1928;1,01732435;0,924569454
01/10/1928;1,043310876;0,935364129
01/11/1928;1,168431184;0,954786383
01/12/1928;1,171799808;0,971479724
01/01/1929;1,242277992;0,990822457
01/02/1929;1,23503861;1,007103534
01/03/1929;1,232142857;1,021168492
01/04/1929;1,251930502;1,034742728
01/05/1929;1,198359073;1,043832525
01/06/1929;1,322876448;1,058519047
01/07/1929;1,393822394;1,075284214
01/08/1929;1,530405405;1,096956652
01/09/1929;1,455598456;1,113258552
01/10/1929;1,165540541;1,115531682
01/11/1929;1,00965251;1,11112005
01/12/1929;1,03523166;1,108084514
01/01/1930;1,101498308;1,107831199
01/02/1930;1,125181247;1,108473793
01/03/1930;1,167230546;1,110572248
01/04/1930;1,203479942;1,113775962
01/05/1930;1,183663606;1,11610555
01/06/1930;0,988883519;1,112001614
01/07/1930;1,025132914;1,109286967
01/08/1930;1,032866119;1,106971184
01/09/1930;0,898501692;1,100839728
01/10/1930;0,818753021;1,092780108
01/11/1930;0,800869986;1,084671493
01/12/1930;0,741420976;1,075394452
01/01/1931;0,712262063;1,065838337
01/02/1931;0,793714033;1,05886079
01/03/1931;0,738822488;1,050859833
01/04/1931;0,667994688;1,041521659
01/05/1931;0,576361222;1,03044641
01/06/1931;0,65648517;1,021749637
01/07/1931;0,607791058;1,012341488
01/08/1931;0,613545817;1,003479362
01/09/1931;0,429836211;0,991008858
01/10/1931;0,466135458;0,979841339
01/11/1931;0,420540062;0,968189229
01/12/1931;0,359451085;0,955766002
01/01/1932;0,379692012;0,944244522
01/02/1932;0,39894129;0,933552302
01/03/1932;0,351780558;0,922364384
01/04/1932;0,280558229;0,910254833
01/05/1932;0,215110683;0,897381794
01/06/1932;0,213185756;0,884941866
01/07/1932;0,293551492;0,874381323
01/08/1932;0,403753609;0,866124697
01/09/1932;0,388835419;0,857895571
01/10/1932;0,33493744;0,849031874
01/11/1932;0,31520693;0,840134792
01/12/1932;0,331568816;0,831797645
01/01/1933;0,262183604;0,822610321
01/02/1933;0,213826974;0,812947094
01/03/1933;0,221004911;0,803697997
01/04/1933;0,314318096;0,796169075
01/05/1933;0,364185871;0,789623875
01/06/1933;0,412164715;0,783990157
01/07/1933;0,375897242;0,77798879
01/08/1933;0,418964866;0,772785545
01/09/1933;0,371363808;0,767050949
01/10/1933;0,338496411;0,761014969
01/11/1933;0,373252739;0,755629383
01/12/1933;0,381564035;0,7505052
01/01/1934;0,319142857;0,744675979
01/02/1934;0,307428571;0,738846014
01/03/1934;0,307142857;0,733165709
01/04/1934;0,298857143;0,727525338
01/05/1934;0,274571429;0,721718236
01/06/1934;0,280285714;0,716130483
01/07/1934;0,248;0,710278852
01/08/1934;0,261428571;0,704737491
01/09/1934;0,26;0,699313863
01/10/1934;0,251714286;0,693921097
01/11/1934;0,272571429;0,688905029
01/12/1934;0,271428571;0,682004365
01/01/1935;0,26;0,675033835
01/02/1935;0,249714286;0,668118453
01/03/1935;0,242;0,659953986
01/04/1935;0,265142857;0,651795769
01/05/1935;0,273714286;0,643596369
01/06/1935;0,292285714;0,636110747
01/07/1935;0,316571429;0,628748101
01/08/1935;0,323428571;0,620642119
01/09/1935;0,331142857;0,612473291
01/10/1935;0,356;0,604291019
01/11/1935;0,37;0,594785886
01/12/1935;0,383714286;0,585403915
01/01/1936;0,408857143;0,575482239
01/02/1936;0,415714286;0,565728378
01/03/1936;0,426285714;0,55613484
01/04/1936;0,393428571;0,545914579
01/05/1936;0,411428571;0,536546359
01/06/1936;0,424;0,525845449
01/07/1936;0,452857143;0,514643482
01/08/1936;0,456857143;0,501863145
01/09/1936;0,457428571;0,48998017
01/10/1936;0,491714286;0,481958429
01/11/1936;0,493714286;0,475816307
01/12/1936;0,490857143;0,469335658
01/01/1937;0,509428571;0,462287209
